q1_1,q9_1,q15_c6_r4,q14_c2_r2,q8_r3_c1,q17_c4_r4,q2_1,q22_r2_c2,q14_c9_r4,q16_c5_r3,q15_c11_r4,q9_10,q20_r2_c2,q20_r7_c3,q8_r4_c1,q6_1,q17_c1_r2,q21_r4_c3,q21_r6_c2,q7_4,q3_1,q17_c10_r1,q20_r6_c2,q7_3,q15_c6_r3,q13_c1_r2,q14_c7_r2,q15_c2_r4,q9_15,q13_c6_r3,q13_c7_r4,q9_14,q16_c10_r4,q9_9,q14_c6_r3,q16_c7_r3,q13_c3_r1,q21_r7_c2,q14_c8_r2,q14_c10_r4,q9_3,q17_c5_r2,q16_c1_r2,q21_r6_c1,q7_2,q13_c5_r1,q13_c4_r4,q16_c1_r1,q17_c7_r2,q21_r5_c1,q6_3,q13_c6_r4,q21_r1_c2,q16_c12_r4,q22_r2_c3,q16_c9_r2,q13_c5_r2,q17_c12_r2,q15_c9_r2,q8_r3_c2,q11_r1_c3,q15_c9_r3,q14_c3_r2,q16_c9_r4,q11_r1_c1,q16_c4_r1,q21_r6_c4,q15_c9_r4,q14_c2_r1,q15_c2_r2,q21_r1_c1,q13_c9_r3,q20_r5_c2,q14_c6_r4,q12_c1_r3,q16_c7_r4,q17_c8_r2,q16_c9_r3,q13_c2_r1,q9_20,q17_c11_r4,q13_c4_r1,q15_c5_r4,q17_c9_r4,q4_2,q20_r1_c4,q15_c8_r1,q10_r5_c1,q16_c2_r3,q9_16,q14_c5_r3,q16_c3_r3,q14_c6_r2,q13_c2_r3,q15_c3_r3,q14_c3_r4,q7_1,q13_c7_r2,q17_c9_r3,q8_r5_c2,q20_r5_c1,q11_r3_c3,q20_r3_c4,q16_c7_r1,q17_c5_r3,q16_c15_r3,q21_r6_c3,q16_c7_r2,q13_c8_r4,q16_c13_r4
Gabriella,0,,30.0,1.0,,0,0,,,,1,0,0,1.0,0.0,30.0,0,0,,0,,0,,,30.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,30.0,0,,,,10.0,,0,0.0,,0,,0,,,,,2.0,0,,30.0,,0,,0,,0.0,30.0,0,,0,,30,,,,0.0,0,,,,,1,0,,0,30.0,0,,30.0,,30.0,33.0,30.0,,,,1.0,0,0,0,,,,0,,,
Gaudi,0,,0.0,0.0,0.0,0,0,,0.0,,1,0,0,0.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,,0.0,0.0,,0,0.0,,0,,0,,,,,,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,,0,0,0,,,,0,,,
Ivy,0,,,0.0,,0,0,,,,0,0,0,0.0,0.0,,0,0,,0,,0,,,0.0,,,0,,,0,,0,,,5.0,0,,,0,,,0,,,20.0,,,0,0.0,,0,,0,,,,,11.0,0,,,,0,,0,,,,0,,0,,0,,,,5.0,0,,5.0,,,0,0,,0,,0,,,,0.0,,,,,,11.0,0,0,0,,,,0,,,
Kenyatta,1,,,1.0,,0,0,,,,1,0,0,,1.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,1.0,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,1.0,,,,0,0,0,,,,0,,,
Omar,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,1.0,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Anna,0,0.0,0.0,0.0,0.0,0,0,,0.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,0.0,4.0,,0.0,0,4.0,0.0,0,,0,,,0.0,0,,,0,0.0,0.0,0,,0.0,0.0,0.0,,0,0.0,0.0,0,,0,,4.0,,,2.0,0,,0.0,,1,0.0,0,,11.0,0.0,0,,0,,32,,,,0.0,0,,0.0,0.0,,0,0,,0,0.0,0,4.0,0.0,,4.0,0.0,0.0,,4.0,,0.0,0,0,0,,0.0,,0,,,
Heather,0,,0.0,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,0.0,,,0,10.0,40.0,0,,0,12.0,,0.0,0,,,0,,,0,,0.0,40.0,,,0,0.0,40.0,0,,0,,0.0,,,,0,,0.0,,1,,0,,0.0,,0,,0,40.0,10,,,,0.0,0,,0.0,,,1,0,,0,,1,12.0,,0.0,10.0,,40.0,,0.0,,,0,1,0,,,,0,,40.0,
Theresa,0,,20.0,1.0,,0,0,,,,1,0,0,1.0,0.0,20.0,0,0,,0,,0,,,20.0,,0.0,0,,,1,,0,,,33.0,0,,,0,,20.0,0,,,,33.0,,0,0.0,,0,,0,,,,,1.0,0,,20.0,,0,,0,,33.0,20.0,0,,0,,60,,,,33.0,0,,,,,1,0,,0,20.0,1,,20.0,,20.0,20.0,0.0,,,,19.0,0,0,0,,,,0,,,
Lori,1,,30.0,0.0,,0,0,,,,1,0,0,0.0,0.0,25.0,0,0,,0,,0,1.0,,30.0,,15.0,1,,,1,,0,,,30.0,0,,,0,,30.0,0,,,,32.0,,0,1.0,,0,,0,,,,,1.0,1,,30.0,,0,,0,,25.0,25.0,0,,0,,24,,,,30.0,1,,,,,1,0,,0,25.0,1,,25.0,,25.0,30.0,15.0,,,,0.0,0,1,0,,,,0,,,
John,0,,0.0,1.0,0.0,0,0,,5.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,0.0,0.0,0,5.0,,0,,0,0.0,,0.0,0,,,0,0.0,0.0,0,,0.0,0.0,0.0,,0,0.0,0.0,0,,0,,0.0,,,,1,,0.0,,1,0.0,0,,3.0,0.0,0,,0,0.0,5,,,,0.0,0,,0.0,0.0,,1,0,,0,5.0,0,0.0,5.0,0.0,5.0,5.0,0.0,,,,,0,0,0,,5.0,,0,,,
Michelle,0,,0.0,0.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,,0,,0.0,0.0,0,,0,,0,,,,0.0,1,,,,,1,0,,0,0.0,0,,0.0,,0.0,,0.0,,,,0.0,0,0,0,,,,0,,,
Domenic,1,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,0.0,0,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,1,,,,,,,,,,0.0,0,0,0,,,,0,,,
Evan,1,,,0.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,0,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Joel,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,1.0,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Kalitchi,0,,0.0,1.0,0.0,0,0,,,,0,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,,,,0,0,,0,0.0,1,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Christopher,1,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,0.0,0,,0,0.0,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,1.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Alanna,0,,0.0,0.0,8.0,0,0,,0.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,20.0,0,,,0,,0,,,0.0,0,,,0,0.0,0.0,0,,0.0,8.0,0.0,,0,0.0,,0,,0,,0.0,,,0.0,0,,0.0,,1,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,20.0,,1,0,,0,0.0,0,,0.0,,0.0,0.0,20.0,,,,2.0,0,0,0,,0.0,,0,,,
Michelle,0,0.0,0.0,0.0,0.0,0,0,,0.0,,1,0,0,2.0,0.0,0.0,0,0,,0,,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0,0.0,0.0,0.0,0,0.0,,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,,0.0,2.0,0,0.0,0.0,,1,0.0,0,0.0,0.0,0.0,0,,0,0.0,0,11.0,,,0.0,0,,0.0,0.0,,1,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0,0,0.0,0.0,,0,0.0,,
,0,,0.0,0.0,,1,0,,,,1,0,0,0.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,,,0.0,,0.0,,,,0.0,0,0,0,,,,0,,,
Heidi,0,,27.0,0.0,0.0,0,0,,,,1,0,0,0.0,0.0,27.0,0,0,,0,,0,,,54.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,27.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,27.0,,0,0.0,0,,0.0,27.0,0,,0,,0,,,,0.0,0,,,,,0,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Bernard,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,0.0,0,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,24.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,1,,,,,,,,,,24.0,0,0,0,,,,0,,,
Stephen,0,0.0,0.0,1.0,0.0,0,0,,0.0,,1,0,0,0.0,0.0,4.0,0,0,,0,,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0,0.0,0.0,0.0,0,,,0,4.0,0.0,0,,0.0,0.0,0.0,4.0,0,0.0,0.0,0,,0,,0.0,,,1.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,0.0,0,0.0,,,0.0,1,,0.0,0.0,,1,0,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,1,0,0.0,4.0,,0,0.0,0.0,
Frank,1,,,5.0,,0,0,,,,1,0,0,4.0,0.0,,0,0,,1,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Nicole,0,,,2.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Miguel,1,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,1.0,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Yvette,0,,0.0,0.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,1,,,0,,0,,,0.0,0,,,0,,3.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Vahan,1,,3.0,1.0,,0,0,,,,1,0,0,1.0,0.0,3.0,0,0,,0,,0,,,3.0,,3.0,1,,,1,,0,,,,0,,,0,,3.0,0,,,,0.0,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,0.0,3.0,0,,0,,0,,,,0.0,1,,,,,0,0,,0,0.0,1,,,,0.0,,,,,,1.0,0,0,0,,,,0,,,
Kim,0,0.0,0.0,0.0,0.0,0,0,,0.0,,1,0,0,0.0,0.0,0.0,0,0,,0,,0,,0.0,0.0,0.0,0.0,0,0.0,,0,,0,0.0,,0.0,0,,,0,0.0,0.0,0,,0.0,0.0,0.0,,0,0.0,0.0,0,,0,,0.0,,,1.0,0,,0.0,,1,18.0,0,,0.0,0.0,0,,0,0.0,0,,,,0.0,1,,0.0,0.0,,1,0,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0,0,,0.0,,0,,,
Brittni,0,0.0,2250.0,,0.0,0,0,,0.0,,0,0,0,,0.0,2250.0,0,0,,0,,0,,0.0,2250.0,,0.0,0,,,0,,0,,,0.0,0,,,0,2250.0,2250.0,0,,,0.0,0.0,,0,0.0,,0,,0,,,,,,0,,2250.0,,0,0.0,0,,0.0,2250.0,0,,0,,0,,,,0.0,0,,0.0,0.0,,0,0,,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,,,,,0,0,0,,0.0,,0,,,
,0,,,0.0,,1,0,,,,0,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,1,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Crystal,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Christina,0,0.0,0.0,0.0,0.0,0,0,,0.0,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,0.0,0.0,,0.0,1,,,0,,0,0.0,,0.0,0,,,0,0.0,2.0,0,,0.0,0.0,0.0,,0,0.0,,0,,0,,0.0,,,0.0,0,,0.0,,0,0.0,0,,0.0,2.0,0,,0,0.0,0,,,,0.0,0,,0.0,0.0,,1,0,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0,0,,0.0,,0,,,
Reginald,0,,60.0,0.0,,0,0,,,,1,0,0,1.0,0.0,60.0,0,0,0.0,0,,0,,,60.0,,60.0,0,,,0,,0,,,,0,,,0,,60.0,0,,,,60.0,,0,0.0,,0,,0,,,,,18.0,1,,60.0,,0,,0,,60.0,60.0,0,,0,,60,,,,60.0,1,,,,,0,0,,0,60.0,0,,60.0,,60.0,60.0,60.0,,,,1.0,0,1,0,,,,0,,,
Rios,0,,,1.0,,0,0,,,,0,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Joseph,0,,0.0,0.0,0.0,0,0,,0.0,,0,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,0.0,0.0,0,,,0.0,0.0,,0,0.0,,0,,0,,,,,0.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,0.0,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,25.0,0,0,0,,0.0,,0,,,
Danielle,1,,,0.0,,0,0,,,,0,0,0,2.0,0.0,,0,0,,0,,0,,,,,,1,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Susan,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Teresa,1,0.0,0.0,1.0,0.0,0,0,,0.0,,1,0,0,1.0,2.0,0.0,0,0,3.0,0,,0,,0.0,0.0,,0.0,1,,,0,,0,0.0,0.0,0.0,0,,,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0,,0,,0,,0.0,,,25.0,0,,0.0,,0,0.0,0,,0.0,0.0,0,,0,0.0,0,0.0,,,0.0,1,,0.0,0.0,,1,0,,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,25.0,0,0,0,0.0,0.0,,0,0.0,,
Jessica,0,,0.0,0.0,,0,0,,,,0,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,1,,0,,,6.0,0,,,0,,0.0,0,,,,8.0,,0,0.0,,0,,0,,,,,1.0,0,,0.0,,0,,0,,0.0,0.0,0,,0,,0,,,,6.0,0,,,,,0,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,,0,0,0,,,,0,,,
Maria,0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,1,0,0,2.0,0.0,0.0,0,0,,0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0,0.0,0.0,,0.0,20.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,,0,0.0,0.0,
,1,,,0.0,,1,0,,,,0,0,0,2.0,0.0,,0,0,0.0,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,7.0,0,0,0,,,,0,,,
Kathryn,0,,30.0,1.0,0.0,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,30.0,,0.0,0,,,0,,0,,,8.0,0,,,0,,0.0,0,,,,8.0,,0,0.0,,0,,0,,,,,0.0,0,,30.0,,1,8.0,0,,8.0,30.0,0,,0,,0,,,,8.0,0,,,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,0.0,0,0,0,,,,0,,,
Sattanya,0,,,0.0,,0,0,,,,0,0,0,0.0,0.0,,0,0,,0,,0,,,,,,0,,,1,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
,1,,0.0,1.0,,1,0,,,,0,0,0,0.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,3.0,0,,0.0,,0,,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,0.0,,0.0,25.0,0.0,,,,0.0,0,0,0,,,,0,,,
Jill,0,,0.0,1.0,0.0,0,0,,0.0,,1,0,0,1.0,0.0,8.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,0.0,0,,,0,8.0,8.0,0,,,0.0,0.0,,0,0.0,,0,,0,,,,,1.0,1,,0.0,,1,0.0,0,,0.0,0.0,0,,0,,0,,,,0.0,1,,0.0,,,1,0,,0,0.0,1,,0.0,,0.0,0.0,0.0,,,,0.0,0,1,0,,0.0,,0,,,
Nikachi,0,,1.0,,0.0,0,0,,,,1,0,0,,0.0,1.0,0,0,,0,,0,,,1.0,,0.0,0,,,0,,0,,,0.0,0,,,0,,1.0,0,,,,0.0,,0,0.0,,0,,0,,,,,,0,,1.0,,0,,0,,0.0,1.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,0.0,,,,,0,0,0,,,,0,,,
Scott,0,,0.0,0.0,,0,0,,,,0,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,40.0,0,,,0,,0,,,,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,2.0,0,,0.0,,0,,0,,0.0,30.0,0,,0,,0,,,,0.0,0,,,,,0,0,,0,0.0,0,,5.0,,0.0,,30.0,,,,0.0,0,0,0,,,,0,,,
Josefa,1,,,0.0,,0,0,,,,1,0,0,2.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
James,0,,,0.0,,0,0,,,,0,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,0.0,0,0,0,,,,0,,,
Salvatore,0,0.0,0.0,1.0,0.0,0,0,,0.0,,1,0,0,2.0,0.0,0.0,0,0,,0,,0,,0.0,0.0,0.0,0.0,0,0.0,,0,,0,0.0,0.0,12.0,0,,,0,0.0,0.0,0,,24.0,0.0,12.0,,0,0.0,0.0,0,,0,,0.0,,,0.0,0,,0.0,,0,12.0,0,,12.0,0.0,0,,0,0.0,0,0.0,,,12.0,1,,12.0,0.0,,0,0,12.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,0,0,24.0,0.0,,0,0.0,,
Christopher,1,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,1.0,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,1,0,,0,,1,,,,,,,,,,1.0,0,0,0,,,,0,,,
Samantha,0,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,1,,,,,,,,,,2.0,0,0,0,,,,0,,,
Maryanne,0,,,0.0,,0,0,,,,0,0,0,1.0,1.0,0.0,0,0,0.0,0,,0,,,0.0,,,0,,,0,,0,,,,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,1.0,0,,,,1,,0,,,,0,,0,,0,,,,,0,,,,,0,0,,0,,0,,,,,,,0.0,,,0.0,0,0,0,,,,0,,,
,0,,16.0,0.0,20.0,1,0,,16.0,,1,0,0,1.0,0.0,16.0,0,0,,0,,0,,,14.0,,25.0,0,14.0,18.0,0,,0,16.0,,18.0,0,,,0,16.0,16.0,0,,18.0,18.0,20.0,,0,0.0,18.0,0,,0,,14.0,,,0.0,0,,16.0,,1,20.0,0,,20.0,20.0,0,,0,20.0,100,,,,18.0,0,,18.0,25.0,,1,0,,0,16.0,0,16.0,16.0,16.0,14.0,20.0,20.0,,15.0,,0.0,0,0,0,,16.0,,0,,,
Laura,0,,,2.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,0,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,1.0,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,1,0,,0,,0,,,,,,,,,,8.0,0,0,0,,,,0,,,
E-Anna,0,,65.0,0.0,,0,0,,,,1,0,0,1.0,0.0,46.0,0,0,,1,,0,,,46.0,,33.0,0,,,0,,0,,,52.0,0,,,0,,65.0,0,0.0,,,33.0,,0,0.0,,0,,0,,,,,1.0,1,,65.0,,0,,0,,33.0,65.0,0,,0,,0,,,,33.0,0,,,,,0,0,,0,0.0,0,,,,0.0,0.0,52.0,,,,0.0,0,1,0,,,,0,,,
Jessica,0,,24.0,2.0,,0,0,,,,1,0,0,0.0,0.0,20.0,0,0,,0,,0,,,24.0,,27.0,0,,,0,,0,,,24.0,0,,,0,,21.0,0,,,,21.0,,0,0.0,,0,,0,,,,,20.0,0,,24.0,,0,21.0,0,,24.0,24.0,0,,0,,0,,,,24.0,0,,,,,1,0,,0,21.0,0,,21.0,,27.0,27.0,27.0,,,,2.0,0,0,0,,,,0,,,
Jomo,0,,,0.0,,0,0,,,,0,0,0,0.0,0.0,,0,0,0.0,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,0.0,0,,,,0,,0,,,,0,,0,,,,,,,1,,,,,0,0,,0,,0,,,,,,,,,,1.0,0,0,0,,,,0,,,
Linda,1,,0.0,2.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,18.0,1,,,1,,0,,,25.0,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,22.0,1,,0.0,,1,,0,,0.0,0.0,0,,0,,0,,,,25.0,1,,,,,0,0,,0,0.0,1,,,,0.0,0.0,0.0,,,,22.0,0,1,0,,,,0,,,
Christopher,1,,,0.0,,0,0,,,,1,0,0,1.0,0.0,,0,0,,0,,0,,,,,,1,,,0,,0,,,,0,,,0,,,0,,,,,,0,0.0,,0,,0,,,,,,0,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,0,,0,,0,,,,,,,,,,,0,0,0,,,,0,,,
Tessa,0,,0.0,0.0,,0,0,,,,1,0,0,1.0,0.0,0.0,0,0,,0,,0,,,0.0,,0.0,0,,,0,,0,,,,0,,,0,,0.0,0,,,,12.0,,0,0.0,,0,,0,,,,,2.0,0,,,,0,,0,,0.0,0.0,0,,0,,0,,,,0.0,0,,,,,1,0,,0,0.0,0,,0.0,,0.0,0.0,,,,,0.0,0,0,0,,,,0,,,
Elizabeth,1,,0.0,0.0,,0,0,,,,1,0,0,0.0,0.0,,0,0,1.0,0,,0,,,0.0,,,0,0.0,0.0,0,,0,0.0,,0.0,0,,,0,,,0,1.0,0.0,0.0,,,0,0.0,0.0,0,,0,,0.0,,,1.0,0,,0.0,,1,,0,,0.0,,0,,0,0.0,0,,,,0.0,1,,0.0,,,1,0,,0,,0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0,0,0,,,,0,,,
Frances,0,,40.0,0.0,,0,0,,,,0,0,0,1.0,0.0,0.0,0,0,1.0,0,,0,,,30.0,,30.0,0,,,0,,0,,,30.0,0,,,0,,0.0,0,,,,0.0,,0,0.0,,0,,0,,,,,0.0,1,,40.0,,0,0.0,0,,30.0,0.0,0,,0,,0,,,,30.0,0,,,,,0,0,,0,30.0,0,,30.0,,0.0,30.0,30.0,,,,0.0,0,1,0,,,,0,,,
