final_address,pkc_indistrict_all,district_3,district_indistrict,programname1,nyceec_others_all,district_indistrict_1,nyceec_siblings_all,district_outdissibs_1,district_zonedsib_1,seats,iepnote,specialpriority,subway_stop,nyceec_others_none,diversity,district_outdissibs,pkc_indistrict_some
"270 West 84th Street, Manhattan NY 10024",,,,Full-Day Program,,,x,,,16 Full-Day,,,1 2 3 B C,x,,,
"512 West 212th Street, Manhattan NY 10034",,,x,Full-Day Program,,,,,,90 Full-Day,,,XX 1 A,,,x,
"880 River Avenue, Bronx NY 10452",,,,Full-Day Program,x,,x,,,52 Full-Day,,,4 B D,,,,
"131 Saint Nicholas Avenue, Manhattan NY 10026",,,,Full-Day Program,x,,x,,,18 Full-Day,,,2 3 A B C D,,,,
"320 West 21st Street, Manhattan NY 10011",,x,,Full-Day Program,,,,,x,18 Full-Day,,,1 2 3 A C E F L M,,,,
"450 Pacific Street, Brooklyn NY 11217",,,,Full-Day Program,,x,,,,108 Full-Day,,,2 3 4 5 A B C D F G N Q R,,,x,
"4321 Barnes Avenue, Bronx NY 10466",,,,Full-Day Program,x,,x,,,144 Full-Day,,,2 5,,,,
"811 East 149th Street, Bronx NY 10455",,,,Full-Day Program,,,,,,36 Full-Day,,District 7 is a choice district,2 5 6,,,,
"850 Kent Avenue, Brooklyn NY 11205",,,x,Full-Day Program,,,,,,36 Full-Day,,,G G J M,,,x,
"1140 East 229th Street, Bronx NY 10466",,,,Full-Day Program,x,,x,,,54 Full-Day,,,,,,,
"976 President Street, Brooklyn NY 11225",,,x,Full-Day Program,,,,,,72 Full-Day,,,2 3 4 5 B F Q S,,,x,
"2950 West 25th Street, Brooklyn NY 11224",,,x,Full-Day Program,,,,,,36 Full-Day,,,,,,x,
"1926 Cross Bronx Expressway, Bronx NY 10472",,,,Half-Day Program,,,,,,26 Half-Day,,,6,,,,
"390 Jackson Avenue, Bronx NY 10454",,,,Full-Day Program,x,,x,,,15 Full-Day,,,6,,,,
"757 Wortman Avenue, Brooklyn NY 11208",,,x,Full-Day Program,,,,,,54 Full-Day,,,,,,x,
"1861 Anthony Avenue, Bronx NY 10457",,,,Full-Day Program,,x,,,,54 Full-Day,,,4 B D,,,x,
"3480 Third Avenue, Bronx NY 10456",,,,Full-Day Program,x,,x,,,72 Full-Day,,,,,,,
"1925 Grand Concourse, Bronx NY 10453",,,,Full-Day Program,x,,x,,,36 Full-Day,,,4 B D,,,,
"700 Rosewood Street, Bronx NY 10467",,,,Full-Day Program,,,x,,,20 Full-Day,,,2 5,,,,
"690 East 183rd Street, Bronx NY 10458",,x,,Full-Day Program,,,,,,36 Full-Day,,,,,,,
"317 East 67th Street, Manhattan NY 10065",,,,Full-Day Program,,,,,,36 Full-Day,,This is a non-zoned school,4 5 6 F N Q R,,,,
"2836 Webb Avenue, Bronx NY 10468",,,,Full-Day Program,x,,x,,,31 Full-Day,,,1 4,,,,
"557 Pennsylvania Avenue, Brooklyn NY 11207",,,,Full-Day Program,,x,,,,36 Full-Day,,,3 L,,,x,
"433 East 100th Street, Manhattan NY 10029",,,,Full-Day Program,x,,x,,,49 Full-Day,,,6,,,,
"601 Parkside Avenue, Brooklyn NY 11226",,,x,Full-Day Program,,,,,,54 Full-Day,,,2 5 Q,,,x,
"114 Kosciusko Street, Brooklyn NY 11216",,,x,Full-Day Program,,,,,,18 Full-Day,,,G,,,x,
"813 Sterling Place, Brooklyn NY 11216",,,,Full-Day Program,x,,x,,,72 Full-Day,,,2 3 4 5 F S,,,,
"90 Chauncey Street, Brooklyn NY 11233",,,,Full-Day Program,x,,x,,,30 Full-Day,,,A C,,,,
"711 Lenox Avenue, Manhattan NY 10039",,,,Full-Day Program,x,,x,,,18 Full-Day,,,2 3 4 5 A B C D,,,,
"281 Ninth Avenue, Manhattan NY 10001",,,,Full-Day Program,,x,,,,36 Full-Day,,,1 A C E,,,x,
"2111 Crotona Avenue, Bronx NY 10457",,,x,Full-Day Program,,,,,,36 Full-Day,,,,,,x,
"425 East 35th Street, Manhattan NY 10016",x,,,Full-Day Program,,,,,,126 Full-Day,,,4 5 6 7 S,,,,
"490 Hudson Street, Manhattan NY 10014",,x,,Full-Day Program,,,,,,54 Full-Day,,,1 2 3 A B C D E F L M,,Students who qualify for Free and Reduced Lunch will have priority after all zoned students are admitted,,
"500 19th Street, Brooklyn NY 11215",x,,,Full-Day Program,,,,,,504 Full-Day,,,F,,,,
"5002 8th Avenue, Brooklyn NY 11220",,,,Full-Day Program,,,x,,,54 Full-Day,,,D,,,,
"970 Vermont Street, Brooklyn NY 11207",,,x,Full-Day Program,,,,,,54 Full-Day,,,,,,x,
"3177 Webster Avenue, Bronx NY 10467",,,,Full-Day Program,,x,,,,36 Full-Day,,,2 5 D,,,x,
"535 East 5th Street, Manhattan NY 10009",,,,Full-Day Program,x,,x,,,40 Full-Day,,,F J L M Z,,,,
"208 North 5th Street, Brooklyn NY 11211",,,x,Full-Day Program,,,,,,36 Full-Day,,,G J L M Z,,,x,
"690 Westchester Avenue, Bronx NY 10455",,,,Full-Day Program,,,,,,15 Full-Day,,,2 5 6,,,,
"222 Graham Avenue, Brooklyn NY 11206",,,,Full-Day Program,x,,x,,,51 Full-Day,,,G J L M,,,,
"314 44th Street, Brooklyn NY 11220",,,,Full-Day Program,x,,x,,,51 Full-Day,,,N R,,,,
"1925 Hone Avenue, Bronx NY 10461",,,,Full-Day Program,x,,x,,,120 Full-Day,,,5,,,,
"1681 49th Street, Brooklyn NY 11204",,,,Full-Day Program,x,,x,,,38 Full-Day,,,F,,,,
"193 10th Avenue, Manhattan NY 10011",,,,Full-Day Program,x,,x,,,40 Full-Day,,,A C E L,,,,
"1520 86th Street, Brooklyn NY 11228",,,,Full-Day Program,,,x,,,18 Full-Day,,,D,,,,
"173-177 25th Street, Brooklyn NY 11232",x,,,Full-Day Program,,,,,,108 Full-Day,,,R,,,,
"610 East 12th Street, Manhattan NY 10009",,,,Full-Day Program,,,,,,36 Full-Day,,District 1 is a choice district,L,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,
"2512 Marion Avenue, Bronx NY 10458",x,,,Full-Day Program,,,,,,288 Full-Day,,,B D,,,,
"301 Henry Street, Manhattan NY 10002",,,,Full-Day Program,x,,x,,,38 Full-Day,,,F J M Z,,,,
"60 Catherine Street, Manhattan NY 10038",,,,Full-Day Program,x,,x,,,29 Full-Day,,,4 5 6 B D F J N Q R Z,,,,
"7106 13th Avenue, Brooklyn NY 11228",,,,Full-Day Program,,,x,,,29 Full-Day,,,D N,,,,
"715 East 105th Street, Brooklyn NY 11236",,,,Full-Day Program,x,,x,,,20 Full-Day,,,L,,,,
"1600 Bathgate Avenue, Bronx NY 10457",,,,Full-Day Program,x,,x,,,32 Full-Day,,,,,,,
"461 Swinton Avenue, Bronx NY 10465",,,,Full-Day Program,x,,x,,,20 Full-Day,,,,,,,
"1273 57th Street, Brooklyn NY 11219",,,,Full-Day Program,x,,x,,,32 Full-Day,"If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.",,D N,,,,
"845 East 96th Street, Brooklyn NY 11236",,,,Full-Day Program,,,,,,36 Full-Day,,This is a non-zoned school,L,,,,
"1771 Popham Avenue, Bronx NY 10453",,,x,Full-Day Program,,,,,,54 Full-Day,,,4,,,x,
"3893 Dyre Avenue, Bronx NY 10466",,,,Full-Day Program,x,,x,,,58 Full-Day,,,5,,,,
"215 South End Avenue, Manhattan NY 10280",,,,Full-Day Program,,,x,,,35 Full-Day,,,1 2 3 4 5 A C E J R Z,,,,
"1825 Prospect Avenue, Bronx NY 10457",,,x,Full-Day Program,,,,,,36 Full-Day,,,2 5,,,x,
"6409 20th Avenue, Brooklyn NY 11204",,,,Full-Day Program,,,x,,,35 Full-Day,,,N,,,,
"779 East 49th Street, Brooklyn NY 11203",,,,Full-Day Program,x,,x,,,54 Full-Day,,,,,,,
"3096 Brighton 6th Street, Brooklyn NY 11235",,,,Full-Day Program,x,,x,,,35 Full-Day,,,B Q,,,,
"639 4th Avenue, Brooklyn NY 11232",,,,Full-Day Program,,,x,,,30 Full-Day,,,R,,,,
"830 Mace Avenue, Bronx NY 10467",,,,Full-Day Program,x,,x,,,148 Full-Day,,,2 5,,,,
"610 Henry Street, Brooklyn NY 11231",,,,Full-Day Program,,,,,,54 Full-Day,,"Students in District 15 are prioritized for fifty-percent of seats, students in District 13 are prioritized for thirty percent of seats, and students in District 14 and District 16 are prioritized for the remaining fifteen percent of seats",F G,,Students who qualify for Free and Reduced Lunch have priority after all zoned students are admitted,,
"1871 Walton Avenue, Bronx NY 10453",,,,Full-Day Program,x,,x,,,76 Full-Day,,,4 B D,,,,
"350 Avenue X, Brooklyn NY 11223",,,x,Full-Day Program,,,,,,108 Full-Day,,,F N,,,x,
"470 Lefferts Avenue, Brooklyn NY 11225",,,,Half-Day Program,,,,,,80 Half-Day,,,2 5,,,,
"1450 Webster Avenue, Bronx NY 10456",,,,Full-Day Program,,,x,,,20 Full-Day,,,B D,,,,
"610 Baltic Street, Brooklyn NY 11217",,,,Full-Day Program,,,,,,54 Full-Day,,"Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or whose home language is a language other than English will have priority for 35% of seats",2 3 4 5 B D N Q R,,,,
"1332 Fulton Avenue, Bronx NY 10456",,,,Full-Day Program,x,,x,,,36 Full-Day,,,,,,,
"2185 Bathgate Avenue, Bronx NY 10457",,,x,Full-Day Program,,,,,,72 Full-Day,,,B D,,,x,
"502 Morris Avenue, Bronx NY 10451",,,,Full-Day Program,,,,,,36 Full-Day,,District 7 is a choice district,2 4 5 6,,,,
"163 West 97th Street, Manhattan NY 10025",,x,,Full-Day Program,,,,,,36 Full-Day,,,1 2 3 B C,,,,
"465 West 167th Street, Manhattan NY 10032",,,x,Full-Day Program,,,,,,54 Full-Day,,,1 A C,,,x,
"800 Lydig Avenue, Bronx NY 10462",,x,,Full-Day Program,,,,,,36 Full-Day,,,2 5,,,,
"5015 6th Avenue, Brooklyn NY 11220",,,,Full-Day Program,,,x,,,36 Full-Day,,,N R,x,,,
"3440 White Plains Road, Bronx NY 10467",,,,Full-Day Program,x,,x,,,31 Full-Day,,,2 5,,,,
"114 West 91st Street, Manhattan NY 10025",,,,Full-Day Program,,,x,,,18 Full-Day,,,1 2 3 B C,,,,
"465 West 167th Street, Manhattan NY 10032",,,,Half-Day Program,,,,,,20 Half-Day,,,1 A C,,,,
"20 West Street, Manhattan NY 10004",,,,Full-Day Program,,,x,,,37 Full-Day,,,1 2 3 4 5 A C E J N R Z,,,,
"3520 Tilden Avenue, Brooklyn NY 11203",,,,Full-Day Program,x,,x,,,144 Full-Day,,,2 5,,,,
"858 Jamaica Avenue, Brooklyn NY 11208",,x,,Full-Day Program,,,,,,36 Full-Day,,,J Z,,,,
"110 Kosciusko St, Brooklyn NY 11216",,,,Full-Day Program,x,,x,,,20 Full-Day,,,G,,,,
"1123 Avenue N, Brooklyn NY 11230",,,,Full-Day Program,,,,,,20 Full-Day,,,Q,x,,,
"292 Frost Street, Brooklyn NY 11222",,,,Full-Day Program,x,,x,,,18 Full-Day,,,L,,,,
"1925 Bathgate Avenue, Bronx NY 10457",,,,Full-Day Program,x,,x,,,47 Full-Day,,,B D,,,,
"70 East 129th Street, Manhattan NY 10035",,,,Full-Day Program,,,x,,,18 Full-Day,,,2 3 4 5 6,,,,
"1880 Watson Avenue, Bronx NY 10472",,,,Full-Day Program,,,x,,,44 Full-Day,"If your child has an IEP recommending Related Services and/or SEIT, contact the program directly for more information before applying.",,6,,,,
"21 Bay 11th Street, Brooklyn NY 11214",x,,,Full-Day Program,,,,,,288 Full-Day,,,D,,,,
"1181 East New York Avenue, Brooklyn NY 11212",,,,Full-Day Program,x,,x,,,80 Full-Day,,,3 4,,,,
"730 East 12th Street, Manhattan NY 10009",,,,Full-Day Program,,,,,,18 Full-Day,,District 1 is a choice district,L,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,
"100 East Mount Eden Avenue, Bronx NY 10452",,,,Full-Day Program,x,,x,,,115 Full-Day,,,4 B D,,,,
"160 East 120th Street, Manhattan NY 10035",,,x,Full-Day Program,,,,,,18 Full-Day,,,4 5 6,,,x,
"1458 Webster Avenue, Bronx NY 10456",,,,Full-Day Program,x,,x,,,36 Full-Day,,,B D,,,,
"250 Ralph Avenue, Brooklyn NY 11233",,,,Full-Day Program,x,,x,,,19 Full-Day,,,A C,,,,
"620 Isham Street, Manhattan NY 10034",,,,Full-Day Program,,,x,,,36 Full-Day,,,XX 1 A,,,,
"955 Hutchinson River Parkway, Bronx NY 10465",,,,Full-Day Program,x,,x,,,18 Full-Day,,,,,,,
"60 East 94th Street, Brooklyn NY 11212",,,x,Full-Day Program,,,,,,72 Full-Day,,,3 4,,,x,
"178 Leonard Street, Brooklyn NY 11206",,,,Full-Day Program,x,,x,,,20 Full-Day,,,G J L M,,,,
"4035 White Plains Road, Bronx NY 10466",,,,Full-Day Program,,,x,,,81 Full-Day,,,2 5,,,,
"182 Henry Street, Brooklyn NY 11201",,,,Full-Day Program,,,x,,,15 Full-Day,,,2 3 4 5 A C F R,,,,
"124 Monitor Street, Brooklyn NY 11222",,,,Full-Day Program,,x,,,,90 Full-Day,,,G,,,x,
"713 43rd Street, Brooklyn NY 11232",,,,Full-Day Program,x,,x,,,72 Full-Day,,,D R,,,,
"3450 DeKalb Avenue, Bronx NY 10467",,,,Half-Day Program,,,,,,144 Half-Day,,,4 D,,,,
"75 Meserole Avenue, Brooklyn NY 11222",,,,Full-Day Program,,x,,,,90 Full-Day,,,G,,,x,
"20 West 112th Street, Manhattan NY 10026",,,x,Full-Day Program,,,,,,72 Full-Day,,,2 3 6 B C,,,x,
"1846 Randall Avenue, Bronx NY 10473",,,,Full-Day Program,x,,x,,,90 Full-Day,,,,,,,
"211 Ainslie Street, Brooklyn NY 11211",,,,Full-Day Program,x,,x,,,40 Full-Day,,,G L,,,,
"2074 Strang Avenue, Bronx NY 10466",,,,Half-Day Program,,,,,,36 Half-Day,,,5,,,,
"921 East 180th Street, Bronx NY 10460",,,,Full-Day Program,x,,x,,,72 Full-Day,,,2 5,,,,
"2100 Wallace Avenue, Bronx NY 10462",,,,Full-Day Program,x,,x,,,54 Full-Day,,,2 5,,,,
"525 West 44th Street, Manhattan NY 10036",,x,,Full-Day Program,,,,,,72 Full-Day,,,A C E,,,,
"250 Bedford Park Boulevard West , Bronx NY 10468",,,,Full-Day Program,,,,,,18 Full-Day,,,4 B D,x,,,
"383 East 139th Street, Bronx NY 10454",,,,Full-Day Program,,,,,,54 Full-Day,,District 7 is a choice district,2 4 5 6,,,,
"143 Baxter Street, Manhattan NY 10013",,,,Full-Day Program,,x,,,,36 Full-Day,,,1 4 5 6 A B C D E F J M N Q R Z,,,x,
"1120 East 10th Street, Brooklyn NY 11230",,x,,Full-Day Program,,,,,,36 Full-Day,,,F Q,,,,
"1919 Prospect Avenue, Bronx NY 10457",,,,Full-Day Program,x,,x,,,32 Full-Day,,,2 5,,,,
"933 Herkimer Street, Brooklyn NY 11233",,,,Full-Day Program,x,,x,,,45 Full-Day,,,A C,,,,
"425 West 123rd Street, Manhattan NY 10027",,,,Full-Day Program,,x,,,,54 Full-Day,,,1 A B C D,,,x,
"1166 Neill Avenue, Bronx NY 10461",,x,,Full-Day Program,,,,,x,18 Full-Day,,,5,,,,
"1825 Atlantic Avenue, Brooklyn NY 11233",,,,Full-Day Program,x,,x,,,18 Full-Day,,,A C,,,,
"131 Broome Street, Manhattan NY 10002",,,,Full-Day Program,x,,x,,,27 Full-Day,,,B D F J M Z,,,,
"121 East 3rd Street, Manhattan NY 10009",,,,Full-Day Program,,,,,,18 Full-Day,,District 1 is a choice district,4 6 B D F J L M Z,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,
"3441 Steenwick Avenue, Bronx NY 10475",,,x,Full-Day Program,,,,,,54 Full-Day,,,5,,,x,
"131 Norman Avenue, Brooklyn NY 11222",,,,Full-Day Program,,,,,,36 Full-Day,,,G,,,,
"100 Attorney Street, Manhattan NY 10002",,,,Full-Day Program,,,,,,36 Full-Day,,District 1 is a choice district,B D F J M Z,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,
"4222 4th Avenue, Brooklyn NY 11232",,,,Full-Day Program,,x,,,,54 Full-Day,,,D N R,,,x,
"489 St. Paul's Place, Bronx NY 10456",,,,Full-Day Program,x,,x,,,36 Full-Day,,,,,,,
"1330 Bristow Street, Bronx NY 10459",,,x,Full-Day Program,,,,,,54 Full-Day,,,2 5,,,x,
"41 West 117th Street, Manhattan NY 10026",,,x,Full-Day Program,,,,,,36 Full-Day,,,2 3 6 B C,,,x,
"580 Hegeman Avenue, Brooklyn NY 11207",,,x,Full-Day Program,,,,,,36 Full-Day,,,3 L,,,x,
"4 River Road, Manhattan NY 10044",,,,Full-Day Program,x,,x,,,49 Full-Day,,,F,,,,
"670 East 219th Street, Bronx NY 10467",,,,Full-Day Program,x,,x,,,54 Full-Day,,,2 5,,,,
"7806 New Utrecht Avenue, Brooklyn NY 11214",,,,Full-Day Program,,,x,,,38 Full-Day,,,D,,,,
"1811 Crotona Avenue, Bronx NY 10457",,,,Full-Day Program,,,x,,,32 Full-Day,,,2 5,,,,
"601 Oceanview Avenue, Brooklyn NY 11235",,x,,Full-Day Program,,,,,,36 Full-Day,,,B Q,,,,
"8515 Ridge Boulevard, Brooklyn NY 11209",,,,Full-Day Program,,,x,,,90 Full-Day,,,R,,,,
"5625 Arlington Avenue, Bronx NY 10471",,,,Full-Day Program,,,x,,,36 Full-Day,,,,,,,
"600 East 6th Street, Manhattan NY 10009",,,,Full-Day Program,,,,,,36 Full-Day,,District 1 is a choice district,F J L M Z,,This school is part of the District 1 Diversity in Admissions pilot. Please see section 4.7 for more information,,
"70 West 95th Street, Manhattan NY 10025",,,,Full-Day Program,,,x,,,18 Full-Day,,,1 2 3 B C,,,,
"5814 Fort Hamilton Parkway, Brooklyn NY 11219",,,,Full-Day Program,x,,x,,,100 Full-Day,,,N,,,,
"2121 5th Avenue, Manhattan NY 10037",,,x,Full-Day Program,,,,,,18 Full-Day,,,2 3 4 5 6,,,x,
"3961 Hillman Avenue, Bronx NY 10463",,,,Full-Day Program,,,,,,18 Full-Day,,Prioritizes students living in Van Cortlandt Park Village,4,,,,
"320, Manhattan Avenue, Brooklyn NY 11211",,,,Full-Day Program,,x,,,,72 Full-Day,,,G L,,,x,
"6120 Bay Parkway, Brooklyn NY 11204",,,,Full-Day Program,,,x,,,60 Full-Day,,,F N,,,,
"374 Pine Street, Brooklyn NY 11208",,,,Full-Day Program,,,x,,,60 Full-Day,,,A C J Z,,,,
"100 Clermont Avenue, Brooklyn NY 11205",,,x,Full-Day Program,,,,,,54 Full-Day,,,G,,,x,
"3512 Dekalb Avenue, Bronx NY 10467",,,,Full-Day Program,,,x,,,"20 Full-Day, 54 Half-Day",,,4,,,,
"1260 Franklin Avenue, Bronx NY 10456",,,x,Full-Day Program,,,,,,54 Full-Day,,,,,,x,
"1325 Pennsylvania Avenue, Brooklyn NY 11239",,,,Full-Day Program,,,x,,,18 Full-Day,,,,,,,
"1250 Ward Avenue, Bronx NY 10472",,x,,Full-Day Program,,,,,x,18 Full-Day,,,6,,,,
"300 Jay Street, Brooklyn NY 11201",,,,Full-Day Program,,,x,,,25 Full-Day,,,2 3 4 5 A B C F G Q R,,,,
"209 York Street, Brooklyn NY 11201",,,x,Full-Day Program,,,,,,108 Full-Day,,,A C F,,,x,
"811 54th Street, Brooklyn NY 11220",,,,Full-Day Program,,,x,,,26 Full-Day,,,N,,,,
"330 Crown Street, Brooklyn NY 11225",,,x,Full-Day Program,,,,,,36 Full-Day,,,2 3 5,,,x,
"9301 Avenue B, Brooklyn NY 11236",,,x,Full-Day Program,,,,,,54 Full-Day,,,,,,x,
